餐厅名称,特色菜品,地址,人均消费,推荐指数,营业时间,备注
孟家把子肉,把子肉,济南市历下区泉城路,15元,★★★★★,06:00-14:00,必吃！济南把子肉老字号
油旋张,"油旋、甜沫",济南市历下区县西巷,12元,★★★★★,06:30-12:00,必吃！油旋酥脆，甜沫正宗
甜沫唐,"甜沫、油条",济南市市中区经四路,10元,★★★★,06:00-10:00,老济南早餐推荐
草包包子铺,"草包包子、馄饨",济南市历下区普利街,20元,★★★★★,06:30-20:00,必吃！非物质文化遗产
老周家牛肉烧饼,"牛肉烧饼、羊汤",济南市市中区纬二路,25元,★★★★★,06:00-14:00,必吃！排队名店
福源成,"锅贴、豆腐脑",济南市槐荫区经十路,18元,★★★★,06:00-14:00,老济南味道
燕喜堂,"九转大肠、糖醋鲤鱼",济南市历下区芙蓉街,80元,★★★★★,11:00-14:00 17:00-21:00,必吃！鲁菜老字号
汇泉楼,"糖醋鲤鱼、爆炒腰花",济南市历下区泉城路,70元,★★★★,11:00-14:00 17:00-21:00,老牌鲁菜馆
春江饭店,"春江小排、酱爆鸡丁",济南市历下区舜耕路,60元,★★★★,11:00-14:00 17:00-21:00,济南老字号
闫府私房菜,"闫府第一排、糖醋里脊",济南市历下区大明湖路,65元,★★★★,11:00-14:00 17:00-21:00,鲁菜私房菜
便宜坊,"烤鸭、炒菜",济南市历下区泉城路,85元,★★★★,11:00-14:00 17:00-21:00,中华老字号
会仙楼,"坛子肉、炒芙蓉",济南市历下区芙蓉街,60元,★★★★,11:00-14:00 17:00-21:00,老字号鲁菜
金三杯酒家,"糖醋鲤鱼、宫保鸡丁",济南市市中区杆石桥,55元,★★★★,11:00-14:00 17:00-21:00,老牌鲁菜
芙蓉街,各类小吃集合,济南市历下区芙蓉街,30元,★★★★★,全天,必去！济南最著名小吃街
宽厚里,各类小吃集合,济南市历下区解放阁,35元,★★★★,全天,网红美食街区
亮亮面馆,"猪肘面、凉面",济南市历下区山大南路,22元,★★★★,10:00-21:00,济南人从小吃到大
济南特色烤串,"羊肉串、烤翅",济南市天桥区工人新村,40元,★★★★,18:00-02:00,夜宵推荐
赵家米饭,"把子肉套餐、米饭",济南市历下区文化东路,18元,★★★★,10:00-21:00,学生党推荐
黄记煌,焖锅,济南市历下区世茂广场,70元,★★★★,11:00-21:00,全国连锁品牌